/Users/thomasleroy/Documents/1_Data_Eng_OClassrooms/projet_12_dbt_sport/cron/daily_pipeline.sh: line 7: docker: command not found
/Users/thomasleroy/Documents/1_Data_Eng_OClassrooms/projet_12_dbt_sport/cron/daily_pipeline.sh: line 7: docker: command not found
 Container producer_history_strava  Recreate
 Container producer_history_strava  Recreated
 Container elt_dbt  Recreate
 Container elt_dbt  Recreated
 Container slack_sender  Recreate
 Container slack_sender  Recreated
Attaching to elt_dbt, producer_history_strava, slack_sender
producer_history_strava  | Démarrage du producteur d'activités sportives...
producer_history_strava  | Connecté à la base de données sport_activities_db sur postgres:5432 en tant qu'utilisateur postgresuser.
producer_history_strava  | ✓ Table sport_enterprise existe et contient 161 lignes.
producer_history_strava  | ✓ Table RH_info existe et contient 161 lignes.
producer_history_strava  | Toutes les distances sont déjà calculées.
producer_history_strava  | Generated activity for employee 45221: Randonnée from 2026-01-03 08:12:53 to 2026-01-03 11:12:53 with distance 9621m and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 56482: Tennis from 2026-01-15 06:08:49 to 2026-01-15 07:08:49 with distance Nonem and comments 'Score: 2/10'
producer_history_strava  | Generated activity for employee 88193: Randonnée from 2026-01-19 11:32:51 to 2026-01-19 13:32:51 with distance 19621m and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 67121: Rugby from 2026-01-03 14:33:31 to 2026-01-03 16:33:31 with distance Nonem and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 44927: Randonnée from 2026-01-02 13:02:09 to 2026-01-02 15:02:09 with distance 7819m and comments 'Score: 0/10'
producer_history_strava  | Generated activity for employee 50309: Runing from 2026-01-04 12:45:03 to 2026-01-04 14:45:03 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 90813: Natation from 2026-01-29 13:43:18 to 2026-01-29 14:43:18 with distance 5771m and comments 'Score: 6/10'
producer_history_strava  | Generated activity for employee 60358: Natation from 2026-01-08 04:17:01 to 2026-01-08 06:17:01 with distance 19598m and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 36981: Natation from 2026-01-21 20:02:02 to 2026-01-21 23:02:02 with distance 14221m and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 86486: Judo from 2026-01-02 11:27:14 to 2026-01-02 13:27:14 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 70575: Randonnée from 2026-01-13 00:43:49 to 2026-01-13 01:43:49 with distance 19536m and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 50309: Runing from 2026-01-13 07:26:02 to 2026-01-13 09:26:02 with distance Nonem and comments 'Score: 3/10'
producer_history_strava  | Generated activity for employee 66386: Badminton from 2026-02-08 14:04:01 to 2026-02-08 16:04:01 with distance Nonem and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 37830: Randonnée from 2026-01-12 20:39:11 to 2026-01-12 21:39:11 with distance 19441m and comments 'Score: 1/10'
producer_history_strava  | Generated activity for employee 39874: Tennis from 2026-02-03 23:05:48 to 2026-02-04 00:05:48 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 96558: Triathlon from 2026-01-22 04:52:06 to 2026-01-22 05:52:06 with distance Nonem and comments 'Score: 5/10'
producer_history_strava  | Generated activity for employee 20697: Randonnée from 2026-01-27 22:02:23 to 2026-01-27 23:02:23 with distance 11303m and comments 'Score: 9/10'
producer_history_strava  | Generated activity for employee 17997: Tennis de table from 2026-01-13 14:03:01 to 2026-01-13 15:03:01 with distance Nonem and comments 'Score: 8/10'
producer_history_strava  | Generated activity for employee 18918: Tennis from 2026-02-05 19:06:22 to 2026-02-05 21:06:22 with distance Nonem and comments 'Score: 10/10'
